,alpha,ductal,endothelial,delta,acinar,beta,unclear,gamma,mesenchymal,epsilon
A1CF,2.00637582948719,0,0,1.00141187054396,1.00141187054396,1.00141187054396,0,1.00141187054396,0,2.3310113247995
ABCC3,0,2.5968095554523,0,0,2.3310113247995,0,3.2707107001219,0,0,0
ABCC8,2.5968095554523,0,0,3.01747376435913,0,4.64959141436424,0,3.48549800542213,0,2.00637582948719
ABLIM1,2.3310113247995,2.00637582948719,0,1.58873426750377,1.00141187054396,2.00637582948719,3.34511411240253,0,0,1.58873426750377
ACTN1,1.58873426750377,2.3310113247995,2.00637582948719,1.58873426750377,3.01747376435913,1.58873426750377,0.794367133751885,1.58873426750377,4.71153117401635,1.58873426750377
ADAM9,1.00141187054396,3.1902461228973,1.00141187054396,0,3.34511411240253,1.00141187054396,1.91170701304819,0,2.3310113247995,0
ADCYAP1,0,0,0,0,0,2.5968095554523,0.500705935271981,0,0,0
AGT,0,2.3310113247995,0,0,0,0,0,0,0,3.48549800542213
AHNAK,0,3.1902461228973,2.3310113247995,0,1.00141187054396,0,3.10385994362821,0,4.0858748075301,0
AKAP12,0,0,0,2.00637582948719,0,0,0,1.58873426750377,3.1902461228973,0
AKAP13,1.00141187054396,2.5968095554523,2.3310113247995,1.00141187054396,2.5968095554523,1.00141187054396,2.16869357714335,1.00141187054396,2.82200215555242,1.00141187054396
AKR1B10,0,1.00141187054396,0,0,3.01747376435913,0,2.75677838515357,0,0,0
AKR1C1,0,1.58873426750377,0,0,2.82200215555242,0,1.58873426750377,0,0.500705935271981,0
AKR1C3,0,1.58873426750377,0,0,4.04066547433843,0,2.80714165990571,0,0,0
ALB,0,0,0,0,5.35625168969217,0,0,0,0,0
ALCAM,2.3310113247995,2.00637582948719,0,3.01747376435913,2.00637582948719,3.34511411240253,2.5210386724412,2.00637582948719,0,1.58873426750377
ALDH1A1,5.91611103142193,2.3310113247995,0,2.3310113247995,4.297494697513,3.67311583401819,1.50389385001558,4.04066547433843,1.00141187054396,3.94461184479151
ALDH3A2,1.00141187054396,3.34511411240253,0,1.00141187054396,2.82200215555242,1.00141187054396,3.5674289838444,0,0,1.00141187054396
ALDOB,0,0,0,0,5.39693659585285,0,0,0,0,0
ALPK3,2.00637582948719,0,1.58873426750377,1.58873426750377,1.58873426750377,1.58873426750377,0.500705935271981,1.00141187054396,0,1.58873426750377
ANKH,2.00637582948719,0,1.00141187054396,1.58873426750377,1.00141187054396,2.3310113247995,0,1.58873426750377,1.58873426750377,1.58873426750377
ANPEP,0,0,0,0,4.5851560646606,0,0,0,0,0
ANXA2,2.00637582948719,6.24761289961758,4.13108414072177,1.00141187054396,4.4478756194429,2.00637582948719,3.61392337716269,1.00141187054396,5.55038033012969,2.00637582948719
ANXA2P2,0,3.34511411240253,2.00637582948719,0,1.58873426750377,0,0.794367133751885,0,2.82200215555242,0
ANXA4,1.00141187054396,6.14317989664918,1.00141187054396,0,5.13684910133584,0,2.16869357714335,1.00141187054396,1.58873426750377,0
APLP1,3.1902461228973,0,0,2.5968095554523,1.00141187054396,2.5968095554523,0.500705935271981,2.5968095554523,0,2.00637582948719
AQP1,0,3.34511411240253,0,0,0,0,0.500705935271981,0,0,0
AQP3,0,1.00141187054396,0,2.3310113247995,1.58873426750377,0,1.29507306902387,2.82200215555242,0,0
ARL4C,0,2.00637582948719,0,0,0,0,2.00944281745155,0,2.5968095554523,0
ARPC1B,1.58873426750377,2.82200215555242,2.5968095554523,1.00141187054396,2.5968095554523,1.00141187054396,0.500705935271981,1.00141187054396,3.48549800542213,1.58873426750377
ARRDC4,2.00637582948719,0,0,0,1.00141187054396,0,1.79911071299813,0,1.00141187054396,0
ARX,2.5968095554523,0,0,0,0,0,0,2.3310113247995,0,3.01747376435913
ASPH,2.82200215555242,2.3310113247995,1.00141187054396,2.00637582948719,3.48549800542213,2.5968095554523,1.00141187054396,1.58873426750377,4.17379885649663,0
ATP10B,0,1.00141187054396,0,0,3.34511411240253,0,0,0,0,0
ATP1B1,3.61392337716269,4.88423612140334,0,2.82200215555242,4.04066547433843,2.82200215555242,3.26768011764991,1.58873426750377,1.00141187054396,1.58873426750377
BACE2,1.00141187054396,3.73230829087369,2.00637582948719,0,4.21651357227149,0,3.65748423093606,0,1.58873426750377,0
BAZ1A,0,2.00637582948719,2.3310113247995,0,2.3310113247995,0,3.22712572446505,0,2.82200215555242,0
BCAT1,0,0,0,0,4.71153117401635,0,0,0,2.82200215555242,0
BEX1,4.5851560646606,1.00141187054396,0,4.64959141436424,1.00141187054396,4.4478756194429,1.74274900271107,3.73230829087369,1.00141187054396,4.13108414072177
BEX2,3.01747376435913,1.58873426750377,0,3.1902461228973,1.58873426750377,3.34511411240253,1.41100107777621,2.5968095554523,0,2.00637582948719
BHLHE40,0,2.00637582948719,1.58873426750377,0,2.00637582948719,1.00141187054396,2.47301185766773,0,2.91973795995578,0
BHLHE41,0,1.00141187054396,0,2.00637582948719,0,1.58873426750377,3.5674289838444,1.00141187054396,0,0
BIRC3,0,1.58873426750377,0,0,2.3310113247995,0,2.47301185766773,0,0,0
BTG2,2.5968095554523,2.00637582948719,0,2.00637582948719,3.34511411240253,1.00141187054396,2.30310401593145,3.01747376435913,0,2.3310113247995
C10orf10,2.82200215555242,1.00141187054396,0,1.00141187054396,2.00637582948719,1.58873426750377,0.794367133751885,2.00637582948719,0,1.58873426750377
C12orf75,2.5968095554523,3.01747376435913,0,0,1.58873426750377,2.00637582948719,1.29507306902387,1.58873426750377,1.00141187054396,2.3310113247995
C14orf132,1.00141187054396,0,1.00141187054396,2.3310113247995,0,2.3310113247995,0,1.00141187054396,1.00141187054396,0
C15orf48,1.58873426750377,0,0,0,4.98996647140356,0,1.29507306902387,1.00141187054396,0,0
C19orf77,2.00637582948719,0,0,0,0,0,1.16550566239975,1.00141187054396,0,0
C2CD4A,1.58873426750377,0,0,0,0,0,0.500705935271981,0,0,0
C2CD4B,1.00141187054396,0,0,0,1.00141187054396,0,0,0,0,0
C3,0,1.58873426750377,0,0,3.48549800542213,0,0.500705935271981,0,0,0
CACNA1A,2.00637582948719,0,0,1.58873426750377,0,1.00141187054396,0,2.3310113247995,0,0
CADM1,1.58873426750377,1.58873426750377,1.00141187054396,2.82200215555242,0,2.5968095554523,1.66621159767173,1.00141187054396,0,2.00637582948719
CADPS,2.00637582948719,0,0,2.5968095554523,0,2.5968095554523,0,1.58873426750377,0,0
CALD1,0,2.3310113247995,1.58873426750377,1.58873426750377,0,1.00141187054396,0.500705935271981,0,6.16910237608907,2.3310113247995
CALU,1.00141187054396,2.00637582948719,2.00637582948719,1.00141187054396,2.3310113247995,1.00141187054396,0.500705935271981,1.00141187054396,4.82868858074601,0
CAMK2N1,2.82200215555242,1.58873426750377,0,2.5968095554523,0,3.34511411240253,1.91170701304819,3.01747376435913,2.00637582948719,2.3310113247995
CAPN2,1.00141187054396,3.1902461228973,1.58873426750377,1.00141187054396,2.82200215555242,1.58873426750377,2.09277191147803,1.00141187054396,2.82200215555242,0
CASR,0,0,0,2.5968095554523,0,2.5968095554523,0,1.00141187054396,0,0
CAV2,0,3.61392337716269,1.58873426750377,0,2.3310113247995,0,0.500705935271981,0,2.5968095554523,0
CCND2,0,0,0,0,2.82200215555242,1.00141187054396,0,0,2.3310113247995,1.00141187054396
CD200,2.00637582948719,0,1.00141187054396,2.00637582948719,0,2.3310113247995,0,1.58873426750377,0,1.00141187054396
CD24,2.00637582948719,6.70458919676004,1.58873426750377,2.5968095554523,7.3647044617966,3.01747376435913,5.48593423869759,1.58873426750377,1.58873426750377,1.00141187054396
CD44,1.00141187054396,5.13684910133584,0,0,5.31457957999183,0,1.79755504849548,1.00141187054396,3.61392337716269,0
CD74,0,3.34511411240253,0,0,1.58873426750377,0,1.50389385001558,0,0,1.58873426750377
CD9,0,3.01747376435913,3.61392337716269,2.00637582948719,1.58873426750377,0,0.794367133751885,0,1.79755504849548,2.00637582948719
CD99L2,2.3310113247995,1.00141187054396,0,1.00141187054396,1.00141187054396,1.00141187054396,0,0,1.00141187054396,0
CDC42EP3,2.00637582948719,1.00141187054396,0,2.00637582948719,1.00141187054396,2.5968095554523,1.50389385001558,1.00141187054396,0,1.58873426750377
CDCP1,0,1.58873426750377,0,1.58873426750377,2.3310113247995,1.58873426750377,2.00944281745155,1.00141187054396,0,2.00637582948719
CDH1,2.3310113247995,3.73230829087369,0,2.00637582948719,4.21651357227149,2.00637582948719,3.73809912656215,1.58873426750377,0,2.00637582948719
CDKN1A,0,2.3310113247995,2.3310113247995,0,2.3310113247995,2.00637582948719,4.61973930657406,1.58873426750377,1.29507306902387,1.00141187054396
CDKN1C,1.00141187054396,1.00141187054396,1.00141187054396,0,0,2.5968095554523,1.00141187054396,0,0,1.00141187054396
CEBPD,0,1.00141187054396,0,0,3.1902461228973,0,1.00141187054396,0,1.58873426750377,0
CECR1,2.3310113247995,1.58873426750377,0,1.58873426750377,1.00141187054396,1.58873426750377,0.500705935271981,1.00141187054396,1.00141187054396,1.58873426750377
CEL,0,0,0,0,5.04038687174049,0,0,0,0,0
CELA2A,0,0,0,0,4.21651357227149,0,0,0,0,0
CELA3A,0,0,0,0,4.71153117401635,0,0,0,0,0
CFB,0,3.61392337716269,0,0,5.75904068485912,0,0,0,0,0
CFC1,2.00637582948719,0,0,1.00141187054396,0,1.00141187054396,0,0,0,1.58873426750377
CFTR,0,5.27186540239799,0,0,0,0,0.500705935271981,0,0,0
CHGA,6.24761289961758,2.00637582948719,1.58873426750377,4.82868858074601,2.3310113247995,5.01517667157202,2.00637582948719,3.94461184479151,2.3310113247995,2.00637582948719
CHGB,6.72520980641768,1.00141187054396,1.00141187054396,5.04038687174049,1.58873426750377,3.94461184479151,1.00141187054396,5.27186540239799,1.58873426750377,4.93795377263354
CLDN1,0,3.48549800542213,0,0,2.3310113247995,0,3.31425301115625,0,0,0
CLDN10,0,3.01747376435913,0,0,2.00637582948719,0,0,0,0,0
CLDN4,0,2.82200215555242,0,0,3.34511411240253,0,1.66621159767173,0,0,0
CLDN7,1.58873426750377,3.01747376435913,0,1.00141187054396,3.1902461228973,1.00141187054396,2.4639104401259,1.00141187054396,0,1.00141187054396
CLMN,0,2.5968095554523,0,0,2.3310113247995,0,1.00141187054396,0,0,0
CLU,5.51355677030713,4.21651357227149,1.00141187054396,4.51800216022477,4.37448516703409,3.48549800542213,2.41418899251981,4.64959141436424,1.00141187054396,6.00441554596575
CNIH2,3.01747376435913,0,0,2.00637582948719,0,1.58873426750377,0,1.58873426750377,0,2.3310113247995
CNTN1,2.5968095554523,0,0,1.00141187054396,0,1.58873426750377,0,1.58873426750377,0,0
COL1A1,1.00141187054396,1.00141187054396,0,1.00141187054396,1.00141187054396,1.00141187054396,0.794367133751885,0,9.44141461019171,0
COL1A2,0,0,0,0,0,0,0,0,8.00832755438492,0
COL3A1,0,0,0,0,0,0,0,0,7.87081887956606,0
COL4A1,0,1.00141187054396,5.43668500397911,0,0,0,0,0,6.69419081826437,0
COL4A2,0,2.00637582948719,5.43668500397911,0,0,0,0.500705935271981,0,6.59874517084375,0
CPA1,0,0,0,0,6.82582866944891,0,0,0,0,0
CPA2,0,0,0,0,5.79153838879139,0,0,0,0,0
CPB1,0,1.00141187054396,1.00141187054396,1.00141187054396,6.64165106554085,0,1.00141187054396,1.00141187054396,1.00141187054396,0
CPE,5.97543230476667,1.58873426750377,1.00141187054396,5.27186540239799,1.00141187054396,5.04038687174049,1.58873426750377,4.77117207565512,2.00637582948719,5.43668500397911
CPLX2,2.00637582948719,0,0,1.00141187054396,0,1.58873426750377,0,1.00141187054396,0,2.3310113247995
CPM,0,1.58873426750377,1.00141187054396,0,2.82200215555242,0,1.41100107777621,0,0,1.00141187054396
CREB3L1,0,1.00141187054396,0,0,2.5968095554523,0,1.29507306902387,0,3.67311583401819,0
CRYBA2,3.01747376435913,0,0,0,0,0,0,0,0,0
CSDA,0,1.58873426750377,1.00141187054396,0,2.82200215555242,0,1.29507306902387,0,2.00637582948719,0
CTRB1,0,0,0,0,5.51355677030713,0,0,0,0,0
CTRB2,0,1.00141187054396,0,0,8.22287509907976,1.00141187054396,0.794367133751885,0,1.00141187054396,0
CTRC,0,0,0,0,4.21651357227149,0,0,0,0,0
CTSD,0,2.82200215555242,1.00141187054396,0,2.5968095554523,1.00141187054396,1.79911071299813,0,1.58873426750377,0
CXADR,0,3.01747376435913,0,1.00141187054396,2.5968095554523,1.00141187054396,3.21796276635755,0,0,1.58873426750377
CXCL2,0,2.00637582948719,0,0,4.51800216022477,0,3.55880588696656,0,0,0
CYB5A,1.00141187054396,2.00637582948719,0,1.00141187054396,3.84214376653737,1.00141187054396,2.4639104401259,0,1.00141187054396,1.00141187054396
DHRS7,1.00141187054396,2.82200215555242,1.58873426750377,2.00637582948719,3.01747376435913,2.82200215555242,2.8935278391748,1.00141187054396,2.00637582948719,1.00141187054396
DLK1,0,0,0,0,0,1.00141187054396,0,0,0,0
DNAJB9,1.00141187054396,1.00141187054396,1.00141187054396,1.58873426750377,2.3310113247995,2.00637582948719,1.29507306902387,0,2.3310113247995,0
DNAJC12,1.58873426750377,0,0,2.00637582948719,1.58873426750377,2.00637582948719,0,1.00141187054396,0,1.00141187054396
DPP6,2.00637582948719,0,0,1.00141187054396,0,2.3310113247995,0,1.58873426750377,0,0
